GEOID,STATEFP,COUNTYFP,metro_code,Hub_distance,NAME_2,NAMELSAD_2,Metro_Area
06037119341,06,037,31080.0,23843.80484685075,Los Angeles,Los Angeles County,Los Angeles
06037119342,06,037,31080.0,24167.13422917001,Los Angeles,Los Angeles County,Los Angeles
06037119400,06,037,31080.0,24503.987885787385,Los Angeles,Los Angeles County,Los Angeles
06037119700,06,037,31080.0,23009.015341839244,Los Angeles,Los Angeles County,Los Angeles
06037119801,06,037,,24186.11386887556,Los Angeles,Los Angeles County,Los Angeles
06037119802,06,037,,23995.767663495295,Los Angeles,Los Angeles County,Los Angeles
06037119900,06,037,31080.0,23057.906817470568,Los Angeles,Los Angeles County,Los Angeles
06037120010,06,037,31080.0,21290.259325238774,Los Angeles,Los Angeles County,Los Angeles
06037120020,06,037,31080.0,21625.38544672943,Los Angeles,Los Angeles County,Los Angeles
06037120030,06,037,31080.0,21373.07278297921,Los Angeles,Los Angeles County,Los Angeles
06037120103,06,037,31080.0,22873.894399156772,Los Angeles,Los Angeles County,Los Angeles
06037120104,06,037,31080.0,22367.33942866504,Los Angeles,Los Angeles County,Los Angeles
06037120105,06,037,31080.0,23195.45043388526,Los Angeles,Los Angeles County,Los Angeles
06037120106,06,037,31080.0,22027.386297353278,Los Angeles,Los Angeles County,Los Angeles
06037120107,06,037,31080.0,22372.302458075806,Los Angeles,Los Angeles County,Los Angeles
06037120108,06,037,31080.0,22928.374574681013,Los Angeles,Los Angeles County,Los Angeles
06037120300,06,037,31080.0,21811.682771660864,Los Angeles,Los Angeles County,Los Angeles
06037120400,06,037,31080.0,22515.787169522093,Los Angeles,Los Angeles County,Los Angeles
06037121010,06,037,31080.0,24173.84246960771,Los Angeles,Los Angeles County,Los Angeles
06037121020,06,037,31080.0,23155.742043002458,Los Angeles,Los Angeles County,Los Angeles
06037121101,06,037,31080.0,26106.197672769304,Los Angeles,Los Angeles County,Los Angeles
06037121102,06,037,31080.0,27010.97706346567,Los Angeles,Los Angeles County,Los Angeles
06037121210,06,037,31080.0,25710.397992760663,Los Angeles,Los Angeles County,Los Angeles
06037121221,06,037,31080.0,24947.791939227864,Los Angeles,Los Angeles County,Los Angeles
06037121222,06,037,31080.0,25549.261948641753,Los Angeles,Los Angeles County,Los Angeles
06037121600,06,037,31080.0,22672.9018298542,Los Angeles,Los Angeles County,Los Angeles
06037121801,06,037,31080.0,23526.477393000358,Los Angeles,Los Angeles County,Los Angeles
06037121802,06,037,31080.0,24331.972474443708,Los Angeles,Los Angeles County,Los Angeles
06037121900,06,037,31080.0,24598.052424582733,Los Angeles,Los Angeles County,Los Angeles
06037122000,06,037,31080.0,22697.51194032401,Los Angeles,Los Angeles County,Los Angeles
06037122120,06,037,31080.0,24511.710488701214,Los Angeles,Los Angeles County,Los Angeles
06037122121,06,037,31080.0,24897.961503084935,Los Angeles,Los Angeles County,Los Angeles
06037122122,06,037,31080.0,25276.260100231295,Los Angeles,Los Angeles County,Los Angeles
